ab_PSNR_full,file,frame,method
44.307817805,scooter-gray/00001.png,1.0,mm1_cuda
42.216402405,scooter-gray/00002.png,2.0,mm1_cuda
41.210767678,scooter-gray/00003.png,3.0,mm1_cuda
40.152363654,scooter-gray/00004.png,4.0,mm1_cuda
39.226237820,scooter-gray/00005.png,5.0,mm1_cuda
38.807177757,scooter-gray/00006.png,6.0,mm1_cuda
38.666808862,scooter-gray/00007.png,7.0,mm1_cuda
38.525283165,scooter-gray/00008.png,8.0,mm1_cuda
37.961023249,scooter-gray/00009.png,9.0,mm1_cuda
37.750610572,scooter-gray/00010.png,10.0,mm1_cuda
37.296982303,scooter-gray/00011.png,11.0,mm1_cuda
37.209868394,scooter-gray/00012.png,12.0,mm1_cuda
37.091086261,scooter-gray/00013.png,13.0,mm1_cuda
36.809969811,scooter-gray/00014.png,14.0,mm1_cuda
36.625079488,scooter-gray/00015.png,15.0,mm1_cuda
36.270472959,scooter-gray/00016.png,16.0,mm1_cuda
35.955810287,scooter-gray/00017.png,17.0,mm1_cuda
35.906321025,scooter-gray/00018.png,18.0,mm1_cuda
35.854109389,scooter-gray/00019.png,19.0,mm1_cuda
35.449636064,scooter-gray/00020.png,20.0,mm1_cuda
35.292782217,scooter-gray/00021.png,21.0,mm1_cuda
35.304073849,scooter-gray/00022.png,22.0,mm1_cuda
35.001482829,scooter-gray/00023.png,23.0,mm1_cuda
35.064976282,scooter-gray/00023.png,24.0,mm1_cuda
